source_code,title,genre_code,director,year,rating,runtime_minutes,description
M0001,Star Force,ACT,Joe Carnahan,1967,6.3,78,A teacher goes off the grid to protect the one person who matters most.
M0002,Fire Force,ACT,Joe Carnahan,1979,6.2,107,"Racing against time, a athlete must stop an attack on the capital."
M0003,The Shadow Code,THR,David Fincher,2004,6.1,119,A soldier receives a message from someone who shouldn't exist.
M0004,A Bitter Life,DRA,Hirokazu Kore-eda,1983,7.2,89,A soldier fights for justice in a system stacked against them.
M0005,Outlaws of Voice,WES,Tommy Lee Jones,1996,4.8,100,A lone artist rides into a town where the law has no power.
M0006,Wind Whispers,HOR,David Robert Mitchell,1985,4.3,105,The nightmare is only beginning.
M0007,Beneath the Sky,THR,Christopher Nolan,1971,5.6,106,A politician must outwit a brilliant adversary to survive the night.
M0008,The Reckless Plan,COM,Armando Iannucci,1957,6.5,105,Mistaken identity leads a politician on an unexpected adventure.
M0009,My Quiet Life,COM,Armando Iannucci,1977,5.8,83,A journalist discovers their ordinary life is anything but.
M0010,My Reckless Life,COM,Adam McKay,2024,5.1,111,Mistaken identity leads a artist on an unexpected adventure.
M0011,Love Trail,WES,Clint Eastwood,1956,6.9,106,"In the lawless frontier, only the ruthless survive."
M0012,Full Spirit,ACT,Tony Scott,2017,6.5,133,A former soldier is pulled back into a world they tried to leave behind.
M0013,Desert Reborn,ACT,F. Gary Gray,1964,6.3,119,A former engineer is pulled back into a world they tried to leave behind.
M0014,Wind Trail,WES,Tommy Lee Jones,2014,6,107,"Blood, dust, and justice on the American frontier."
M0015,The Broken Frontier,SCI,Gareth Edwards,2012,9.2,120,"An experiment goes wrong, unleashing consequences no one anticipated."
M0016,The Quiet Road,DRA,Paul Thomas Anderson,2012,7.8,70,A journalist fights for justice in a system stacked against them.
M0017,Echoes of Mirror,DRA,Terrence Malick,2017,7.4,104,A athlete must choose between personal ambition and those they love.
M0018,Blood Earth,HOR,Robert Eggers,2001,8.2,94,The town has kept its secret for a hundred years. Until now.
M0019,Dark Mountain,THR,Roman Polanski,1952,5.8,102,"When a witness disappears, a detective races to find the truth."
M0020,The Long Path,DRA,Paul Thomas Anderson,1954,6.8,114,A engineer must choose between personal ambition and those they love.
M0021,The Stone Agency,ACT,David Leitch,2023,4.4,113,An elite operative uncovers a betrayal within their own ranks.
M0022,A True Life,DRA,Mike Leigh,2002,4.6,126,Two strangers form an unlikely bond during a turbulent summer.
M0023,Star in the Dark,THR,Michael Mann,1974,5.9,107,A engineer has 48 hours to prevent a catastrophe.
M0024,Hidden Voice,THR,Christopher Nolan,1956,5.6,89,A teacher uncovers a conspiracy that puts their life in danger.
M0025,My Wild Fear,ROM,Mark Waters,2011,6.8,121,Two people who couldn't be more different find they're perfect together.
M0026,Silent Peace,THR,Brian De Palma,2004,5.9,79,A journalist must outwit a brilliant adversary to survive the night.
M0027,The Mind Within,DRA,Xavier Dolan,2019,7.5,126,A writer confronts the ghosts of their past in a small coastal town.
M0028,The Wild Frontier,SCI,Mike Cahill,1960,6.8,108,A artist discovers a technology that could save â€” or destroy â€” civilisation.
M0029,The Fallen Truth,THR,Jeremy Saulnier,1955,5.6,95,A engineer receives a message from someone who shouldn't exist.
M0030,Lucky Star,COM,Adam McKay,2000,7.7,121,A pilot discovers their ordinary life is anything but.
M0031,Love in Peace,ROM,Mira Nair,2022,7,101,A chance encounter in a far-off city changes everything.
M0032,Hollow Chaos,COM,Armando Iannucci,1986,7.7,131,A photographer's attempt to impress their in-laws spirals out of control.
M0033,Far From Wave,DRA,Kelly Reichardt,1963,7.1,115,Two strangers form an unlikely bond during a turbulent summer.
M0034,What Lies in Cloud,HOR,Babak Anvari,1976,6.3,81,"When the lights go out, the real terror begins."
M0035,City Prime,SCI,Neill Blomkamp,1985,7.5,119,"In 2157, one decision will determine the fate of two worlds."
M0036,Echoes of Earth,DRA,Mike Leigh,2021,7,120,A family struggles to stay together after a devastating loss.
M0037,Glass of Silence,DRA,Mike Leigh,1966,7.6,124,A musician confronts the ghosts of their past in a small coastal town.
M0038,My Distant Life,COM,Rian Johnson,2002,8.5,94,A family reunion descends into hilarious chaos.
M0039,Light Trail,WES,John Ford,1992,6.7,94,A bounty hunter questions everything they believe when the truth emerges.
M0040,Lucky Dream,COM,Judd Apatow,2010,6.9,136,A musician discovers their ordinary life is anything but.
M0041,My Restless Life,COM,Taika Waititi,2001,5.4,135,A musician's attempt to impress their in-laws spirals out of control.
M0042,Full Ice,ACT,George Miller,1964,7.2,97,A engineer goes off the grid to protect the one person who matters most.
M0043,True Waters,DRA,Xavier Dolan,1990,4,142,Two strangers form an unlikely bond during a turbulent summer.
M0044,My Rising Storm,ROM,Kay Cannon,1950,4.3,97,The one that got away turns out to be the one worth fighting for.
M0045,Hidden Garden,THR,Roman Polanski,1965,6.3,93,A routine assignment turns into a deadly game of cat and mouse.
M0046,Lucky Voice,COM,Wes Anderson,1974,4,122,A farmer accidentally switches lives with their nemesis.
M0047,The Cloud Protocol,THR,Michael Mann,2005,6.9,83,A architect receives a message from someone who shouldn't exist.
M0048,Beneath the Time,THR,Park Chan-wook,1971,6,96,A teacher receives a message from someone who shouldn't exist.
M0049,The Path Kingdom,ANI,Brad Bird,1968,7.4,94,A forgotten land holds the key to everything they've lost.
M0050,Beneath the Bridge,THR,Yorgos Lanthimos,2013,6,116,A soldier uncovers a conspiracy that puts their life in danger.
M0051,The Sky Below,HOR,Ana Lily Amirpour,2009,7.4,99,A architect returns to their hometown â€” and discovers it has changed.
M0052,Echoes of Voice,DRA,Hirokazu Kore-eda,1990,8.9,106,Estranged siblings reunite to settle their parents' estate.
M0053,Vanishing Mirror,THR,Park Chan-wook,2007,6.4,125,A routine assignment turns into a deadly game of cat and mouse.
M0054,Endless Horizon,SCI,James Cameron,1986,6.6,133,A journalist discovers a technology that could save â€” or destroy â€” civilisation.
M0055,The Weight of Earth,DRA,Wong Kar-wai,1958,5.6,129,"In the aftermath of tragedy, survivors find unexpected connection."
M0056,Far From Dream,DRA,Kelly Reichardt,2024,6.7,118,Estranged siblings reunite to settle their parents' estate.
M0057,The Dream Paradox,SCI,Neill Blomkamp,2018,6.5,89,A writer wakes aboard a drifting ship with no memory of how they got there.
M0058,The Wrong Light,COM,Phil Lord,1993,5.5,70,A architect accidentally switches lives with their nemesis.
M0059,Light and Love,ROM,Kay Cannon,2022,6.2,94,A journalist has one summer to follow their heart before it's too late.
M0060,The Dark One,ROM,Kay Cannon,1991,6.8,119,"First love, second chances, and everything in between."
M0061,The Wrong Fire,COM,Christopher Miller,1952,6.5,93,Mistaken identity leads a artist on an unexpected adventure.
M0062,Light Rising,ACT,Joe Carnahan,1975,7.4,84,"Racing against time, a journalist must stop an attack on the capital."
M0063,Beyond Road,SCI,Rian Johnson,1982,6.6,102,A doctor discovers a technology that could save â€” or destroy â€” civilisation.
M0064,Inside Wave,DOC,AgnÃ¨s Varda,1998,5,109,An intimate portrait of a community facing an uncertain future.
M0065,The Ocean Between Us,DRA,Hirokazu Kore-eda,1965,6.9,95,A musician confronts the ghosts of their past in a small coastal town.
M0066,Orbital Mountain,SCI,Mike Cahill,1993,7.7,116,"When the boundaries of reality collapse, a soldier searches for answers."
M0067,Earth in the Dark,THR,David Fincher,2005,7.2,131,A routine assignment turns into a deadly game of cat and mouse.
M0068,Beneath Night,HOR,Babak Anvari,1984,6.1,108,A engineer returns to their hometown â€” and discovers it has changed.
M0069,My Final Heart,ROM,Mira Nair,1998,5.8,121,Love arrives at the most inconvenient possible moment.
M0070,The Ice Paradox,SCI,Jonathan Nolan,1985,5.1,106,A teacher wakes aboard a drifting ship with no memory of how they got there.
M0071,The Wrong Voice,COM,Taika Waititi,2010,5.7,81,A hapless teacher stumbles into a series of increasingly absurd situations.
M0072,The Wrong Wave,COM,Greg Mottola,1997,5,104,Three friends attempt to pull off the most ambitious scheme of their lives.
M0073,Lucky Sun,COM,Adam McKay,1982,6.7,131,Mistaken identity leads a soldier on an unexpected adventure.
M0074,Blood Bridge,HOR,Ari Aster,2011,6.2,121,"When the lights go out, the real terror begins."
